NRC,id_aula,url
3978,33953,https://platform.ecala.net/course/view.php?id=33953
4555,36496,https://platform.ecala.net/course/view.php?id=36496
4554,36495,https://platform.ecala.net/course/view.php?id=36495
4550,36489,https://platform.ecala.net/course/view.php?id=36489
4549,36488,https://platform.ecala.net/course/view.php?id=36488
4552,36493,https://platform.ecala.net/course/view.php?id=36493
4551,36492,https://platform.ecala.net/course/view.php?id=36492
3736,33350,https://platform.ecala.net/course/view.php?id=33350
4604,36566,https://platform.ecala.net/course/view.php?id=36566
4606,36568,https://platform.ecala.net/course/view.php?id=36568
4001,33348,https://platform.ecala.net/course/view.php?id=33348
4605,36567,https://platform.ecala.net/course/view.php?id=36567
3685,33997,https://platform.ecala.net/course/view.php?id=33997
4598,36559,https://platform.ecala.net/course/view.php?id=36559
3663,33441,https://platform.ecala.net/course/view.php?id=33441
4599,36560,https://platform.ecala.net/course/view.php?id=36560
3667,33359,https://platform.ecala.net/course/view.php?id=33359
4066,33320,https://platform.ecala.net/course/view.php?id=33320
3637,33555,https://platform.ecala.net/course/view.php?id=33555
3632,33979,https://platform.ecala.net/course/view.php?id=33979
4013,33313,https://platform.ecala.net/course/view.php?id=33313
4610,36575,https://platform.ecala.net/course/view.php?id=36575
4611,36577,https://platform.ecala.net/course/view.php?id=36577
3641,33796,https://platform.ecala.net/course/view.php?id=33796
3742,33655,https://platform.ecala.net/course/view.php?id=33655
3882,33469,https://platform.ecala.net/course/view.php?id=33469
3740,33999,https://platform.ecala.net/course/view.php?id=33999
4577,36518,https://platform.ecala.net/course/view.php?id=36518
4570,36511,https://platform.ecala.net/course/view.php?id=36511
4054,33520,https://platform.ecala.net/course/view.php?id=33520
4569,36510,https://platform.ecala.net/course/view.php?id=36510
3917,33471,https://platform.ecala.net/course/view.php?id=33471
3958,33472,https://platform.ecala.net/course/view.php?id=33472
4590,36534,https://platform.ecala.net/course/view.php?id=36534
4588,36532,https://platform.ecala.net/course/view.php?id=36532
4591,36535,https://platform.ecala.net/course/view.php?id=36535
4586,36530,https://platform.ecala.net/course/view.php?id=36530
3721,33849,https://platform.ecala.net/course/view.php?id=33849
4086,33438,https://platform.ecala.net/course/view.php?id=33438
4581,36525,https://platform.ecala.net/course/view.php?id=36525
4582,36526,https://platform.ecala.net/course/view.php?id=36526
4584,36528,https://platform.ecala.net/course/view.php?id=36528
4028,33435,https://platform.ecala.net/course/view.php?id=33435
4264,35792,https://platform.ecala.net/course/view.php?id=35792
4263,35788,https://platform.ecala.net/course/view.php?id=35788
4267,35807,https://platform.ecala.net/course/view.php?id=35807
4272,35815,https://platform.ecala.net/course/view.php?id=35815
4269,35811,https://platform.ecala.net/course/view.php?id=35811
4268,35812,https://platform.ecala.net/course/view.php?id=35812
4271,35824,https://platform.ecala.net/course/view.php?id=35824
4270,35822,https://platform.ecala.net/course/view.php?id=35822
4526,36412,https://platform.ecala.net/course/view.php?id=36412
4516,36394,https://platform.ecala.net/course/view.php?id=36394
4519,36398,https://platform.ecala.net/course/view.php?id=36398
4517,36395,https://platform.ecala.net/course/view.php?id=36395
4518,36397,https://platform.ecala.net/course/view.php?id=36397
4285,35860,https://platform.ecala.net/course/view.php?id=35860
4287,35862,https://platform.ecala.net/course/view.php?id=35862
4178,35645,https://platform.ecala.net/course/view.php?id=35645
4179,35646,https://platform.ecala.net/course/view.php?id=35646
4510,36387,https://platform.ecala.net/course/view.php?id=36387
4758,37400,https://platform.ecala.net/course/view.php?id=37400
3364,33794,https://platform.ecala.net/course/view.php?id=33794
4761,37403,https://platform.ecala.net/course/view.php?id=37403
4757,37399,https://platform.ecala.net/course/view.php?id=37399
3382,33646,https://platform.ecala.net/course/view.php?id=33646
4756,37398,https://platform.ecala.net/course/view.php?id=37398
4766,37408,https://platform.ecala.net/course/view.php?id=37408
4767,37409,https://platform.ecala.net/course/view.php?id=37409
3353,33693,https://platform.ecala.net/course/view.php?id=33693
3586,33012,https://platform.ecala.net/course/view.php?id=33012
4061,33009,https://platform.ecala.net/course/view.php?id=33009
3358,33157,https://platform.ecala.net/course/view.php?id=33157
4765,37407,https://platform.ecala.net/course/view.php?id=37407
3535,33006,https://platform.ecala.net/course/view.php?id=33006
3355,33439,https://platform.ecala.net/course/view.php?id=33439
4737,37377,https://platform.ecala.net/course/view.php?id=37377
4738,37378,https://platform.ecala.net/course/view.php?id=37378
4742,37384,https://platform.ecala.net/course/view.php?id=37384
4739,37379,https://platform.ecala.net/course/view.php?id=37379
3455,33674,https://platform.ecala.net/course/view.php?id=33674
3457,33650,https://platform.ecala.net/course/view.php?id=33650
3456,33166,https://platform.ecala.net/course/view.php?id=33166
3445,33162,https://platform.ecala.net/course/view.php?id=33162
3432,33253,https://platform.ecala.net/course/view.php?id=33253
4744,37386,https://platform.ecala.net/course/view.php?id=37386
3403,33440,https://platform.ecala.net/course/view.php?id=33440
3412,33956,https://platform.ecala.net/course/view.php?id=33956
4749,37391,https://platform.ecala.net/course/view.php?id=37391
4751,37393,https://platform.ecala.net/course/view.php?id=37393
4750,37392,https://platform.ecala.net/course/view.php?id=37392
3414,33200,https://platform.ecala.net/course/view.php?id=33200
4746,37388,https://platform.ecala.net/course/view.php?id=37388
3430,33552,https://platform.ecala.net/course/view.php?id=33552
4745,37387,https://platform.ecala.net/course/view.php?id=37387
3238,33227,https://platform.ecala.net/course/view.php?id=33227
3235,33735,https://platform.ecala.net/course/view.php?id=33735
3231,33700,https://platform.ecala.net/course/view.php?id=33700
3218,33150,https://platform.ecala.net/course/view.php?id=33150
3224,32979,https://platform.ecala.net/course/view.php?id=32979
3254,33219,https://platform.ecala.net/course/view.php?id=33219
3487,32903,https://platform.ecala.net/course/view.php?id=32903
3188,33204,https://platform.ecala.net/course/view.php?id=33204
3770,32834,https://platform.ecala.net/course/view.php?id=32834
3192,33885,https://platform.ecala.net/course/view.php?id=33885
3209,33912,https://platform.ecala.net/course/view.php?id=33912
3206,33303,https://platform.ecala.net/course/view.php?id=33303
3193,33256,https://platform.ecala.net/course/view.php?id=33256
3909,32973,https://platform.ecala.net/course/view.php?id=32973
3316,33585,https://platform.ecala.net/course/view.php?id=33585
